Type	IRI	Status	Label
Class	http://purl.obolibrary.org/obo/CARO_0001008		gross anatomical part
Class	http://purl.obolibrary.org/obo/OBI_0000453	ready for release	measure function
Class	http://purl.obolibrary.org/obo/OBI_0000659	ready for release	specimen collection process
Class	http://purl.obolibrary.org/obo/OBI_0000456	ready for release	material transformation objective
NamedIndividual	http://purl.obolibrary.org/obo/IAO_0000410		universal
Class	http://purl.obolibrary.org/obo/NCBITaxon_33154		Opisthokonta
Class	http://purl.obolibrary.org/obo/OBI_0000067	ready for release	evaluant role
Class	http://purl.obolibrary.org/obo/OBI_0001908	ready for release	testable hypothesis
Class	http://purl.obolibrary.org/obo/OBI_0000066	ready for release	investigation
Class	http://purl.obolibrary.org/obo/OBI_0001909	ready for release	conclusion based on data
AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000232	ready for release	curator note
Class	http://purl.obolibrary.org/obo/OBI_0500026	ready for release	eligibility criterion
Class	http://purl.obolibrary.org/obo/OBI_0000953	ready for release	processed specimen
NamedIndividual	http://purl.obolibrary.org/obo/IAO_0000002		example to be eventually removed
Class	http://purl.obolibrary.org/obo/OBI_0000968	ready for release	device
AnnotationProperty	http://purl.obolibrary.org/obo/OBI_9991118	ready for release	IEDB alternative term
Class	http://purl.obolibrary.org/obo/OGMS_0000031		disease
Class	http://purl.obolibrary.org/obo/NCBITaxon_32523		Tetrapoda
Class	http://purl.obolibrary.org/obo/NCBITaxon_32524		Amniota
Class	http://purl.obolibrary.org/obo/OBI_0000471	ready for release	study design execution
ObjectProperty	http://purl.obolibrary.org/obo/BFO_0000050		part of
ObjectProperty	http://purl.obolibrary.org/obo/BFO_0000051		has part
ObjectProperty	http://purl.obolibrary.org/obo/BFO_0000054		realized in
ObjectProperty	http://purl.obolibrary.org/obo/BFO_0000055		realizes
AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000115	ready for release	definition
Class	http://purl.obolibrary.org/obo/OBI_0000181	pending final vetting	population
AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000116	ready for release	editor note
AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000114		has curation status
AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000119	ready for release	definition source
Class	http://purl.obolibrary.org/obo/OBI_0500000	ready for release	study design
AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000117	ready for release	term editor
AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000118	pending final vetting	alternative term
Class	http://purl.obolibrary.org/obo/OBI_0001928	ready for release	selection
Class	http://purl.obolibrary.org/obo/OBI_0000086	metadata complete	reagent role
AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000111	ready for release	editor preferred label
Class	http://purl.obolibrary.org/obo/NCBITaxon_2759		Eukaryota
AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000112	ready for release	example of usage
Class	http://purl.obolibrary.org/obo/CHEBI_23367		molecular entity
AnnotationProperty	http://purl.obolibrary.org/obo/OBI_0001847		
Class	http://purl.obolibrary.org/obo/OBI_0000272	ready for release	protocol
NamedIndividual	http://purl.obolibrary.org/obo/GAZ_00000448		geographic location
Class	http://purl.obolibrary.org/obo/OBI_0000275	ready for release	analyte role
Class	http://purl.obolibrary.org/obo/IAO_0000225	pending final vetting	obsolescence reason specification
NamedIndividual	http://purl.obolibrary.org/obo/IAO_0000420		defined class
NamedIndividual	http://purl.obolibrary.org/obo/IAO_0000421		named class expression
Class	http://purl.obolibrary.org/obo/CL_0000578		experimentally modified cell in vitro
NamedIndividual	http://purl.obolibrary.org/obo/IAO_0000423		to be replaced with external ontology term
NamedIndividual	http://purl.obolibrary.org/obo/IAO_0000428		requires discussion
Class	http://purl.obolibrary.org/obo/OBI_0000785	ready for release	study design controlled variable
Class	http://purl.obolibrary.org/obo/NCBITaxon_10239		Viruses
Class	http://purl.obolibrary.org/obo/OBI_0000070	ready for release	assay
Class	http://purl.obolibrary.org/obo/OBI_0001933	ready for release	value specification
Class	http://purl.obolibrary.org/obo/OBI_0000684	ready for release	specimen collection objective
ObjectProperty	http://purl.obolibrary.org/obo/OBI_0000124	ready for release	is_supported_by_data
ObjectProperty	http://purl.obolibrary.org/obo/IAO_0000219		denotes
Class	http://purl.obolibrary.org/obo/IAO_0000078	pending final vetting	curation status specification
ObjectProperty	http://purl.obolibrary.org/obo/OBI_0000833	ready for release	objective_achieved_by
Class	http://purl.obolibrary.org/obo/IAO_0000064	metadata complete	algorithm
Class	http://purl.obolibrary.org/obo/BFO_0000040		material entity
AnnotationProperty	http://purl.obolibrary.org/obo/RO_0001900		
Class	http://purl.obolibrary.org/obo/OBI_0000011	ready for release	planned process
Class	http://purl.obolibrary.org/obo/NCBITaxon_2		Bacteria
Class	http://purl.obolibrary.org/obo/OBI_0000437	ready for release	analyte measurement objective
Class	http://purl.obolibrary.org/obo/GAZ_00000448		geographic location
Class	http://purl.obolibrary.org/obo/OBI_0000047	ready for release	processed material
Class	http://purl.obolibrary.org/obo/NCBITaxon_314146		Euarchontoglires
ObjectProperty	http://purl.obolibrary.org/obo/OBI_0000417	metadata complete	achieves_planned_objective
Class	http://purl.obolibrary.org/obo/NCBITaxon_2157		Archaea
Class	http://purl.obolibrary.org/obo/OBI_0000441	ready for release	assay objective
Class	http://purl.obolibrary.org/obo/OBI_0000443	ready for release	analyte assay
Class	http://purl.obolibrary.org/obo/OBI_0100051	ready for release	specimen
Class	http://purl.obolibrary.org/obo/CLO_0000001		cell line cell
Class	http://purl.obolibrary.org/obo/BFO_0000015		process
Class	http://purl.obolibrary.org/obo/NCBITaxon_9606		Homo sapiens
Class	http://purl.obolibrary.org/obo/BFO_0000017		realizable entity
Class	http://purl.obolibrary.org/obo/BFO_0000016		disposition
Class	http://purl.obolibrary.org/obo/BFO_0000019		quality
Class	http://purl.obolibrary.org/obo/NCBITaxon_7742		Vertebrata <Metazoa>
Class	http://purl.obolibrary.org/obo/NCBITaxon_117571		Euteleostomi
Class	http://purl.obolibrary.org/obo/OBI_0001879	metadata complete	reagent
Class	http://purl.obolibrary.org/obo/CL_0000000		cell
Class	http://purl.obolibrary.org/obo/CL_0000001		primary cultured cell
Class	http://purl.obolibrary.org/obo/IAO_0000027	pending final vetting	data item
Class	http://purl.obolibrary.org/obo/NCBITaxon_40674		Mammalia
Class	http://purl.obolibrary.org/obo/IAO_0000028	pending final vetting	symbol
ObjectProperty	http://purl.obolibrary.org/obo/RO_0000079		function of
Class	http://purl.obolibrary.org/obo/BFO_0000020		specifically dependent continuant
Class	http://purl.obolibrary.org/obo/BFO_0000023		role
AnnotationProperty	http://purl.obolibrary.org/obo/BFO_0000179		
Class	http://purl.obolibrary.org/obo/OBI_0000832	ready for release	measurement device
Class	http://purl.obolibrary.org/obo/ENVO_00010483		environmental material
Class	http://purl.obolibrary.org/obo/BFO_0000029		site
ObjectProperty	http://purl.obolibrary.org/obo/OBI_0001938	metadata complete	has value specification
NamedIndividual	http://purl.obolibrary.org/obo/IAO_0000103		failed exploratory term
Class	http://purl.obolibrary.org/obo/OBI_0000112	ready for release	specimen role
AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0010000		
ObjectProperty	http://purl.obolibrary.org/obo/RO_0000081		role of
Class	http://purl.obolibrary.org/obo/OBI_0001866	metadata complete	secondary cultured cell
Class	http://purl.obolibrary.org/obo/IAO_0000033	ready for release	directive information entity
ObjectProperty	http://purl.obolibrary.org/obo/RO_0000085		has function
ObjectProperty	http://purl.obolibrary.org/obo/RO_0000087		has role
Class	http://purl.obolibrary.org/obo/GO_0008150		biological_process
Class	http://purl.obolibrary.org/obo/BFO_0000031		generically dependent continuant
Class	http://purl.obolibrary.org/obo/IAO_0000030	ready for release	information content entity
Class	http://purl.obolibrary.org/obo/BFO_0000034		function
Class	http://purl.obolibrary.org/obo/IAO_0000178	ready for release	material information bearer
Class	http://purl.obolibrary.org/obo/OBI_0100026	ready for release	organism
Class	http://purl.obolibrary.org/obo/IAO_0000578	metadata complete	centrally registered identifier
Class	http://purl.obolibrary.org/obo/IAO_0000577	metadata complete	centrally registered identifier symbol
Class	http://purl.obolibrary.org/obo/IAO_0000572	pending final vetting	documenting
ObjectProperty	http://purl.obolibrary.org/obo/RO_0000053		bearer of
Class	http://purl.obolibrary.org/obo/BFO_0000141		immaterial entity
ObjectProperty	http://purl.obolibrary.org/obo/RO_0000052		inheres in
Class	http://purl.obolibrary.org/obo/IAO_0000579	metadata complete	centrally registered identifier registry
ObjectProperty	http://purl.obolibrary.org/obo/IAO_0000136	pending final vetting	is about
Class	http://purl.obolibrary.org/obo/OBI_0000202	ready for release	investigation agent role
Class	http://purl.obolibrary.org/obo/OBI_0001755	ready for release	selection criterion
Class	http://purl.obolibrary.org/obo/BFO_0000001		entity
Class	http://purl.obolibrary.org/obo/BFO_0000002		continuant
ObjectProperty	http://purl.obolibrary.org/obo/RO_0000059		concretizes
ObjectProperty	http://purl.obolibrary.org/obo/RO_0000058		is concretized as
ObjectProperty	http://purl.obolibrary.org/obo/RO_0000057		has participant
ObjectProperty	http://purl.obolibrary.org/obo/RO_0000056		participates in
Class	http://purl.obolibrary.org/obo/OBI_0000810	ready for release	informed consent process
Class	http://purl.obolibrary.org/obo/GO_0005575		cellular_component
NamedIndividual	http://purl.obolibrary.org/obo/IAO_0000224		core
ObjectProperty	http://purl.obolibrary.org/obo/OBI_0000295	ready for release	is_specified_input_of
Class	http://purl.obolibrary.org/obo/BFO_0000004		independent continuant
Class	http://purl.obolibrary.org/obo/BFO_0000003		occurrent
Class	http://purl.obolibrary.org/obo/OBI_0200166	ready for release	data transformation objective
ObjectProperty	http://purl.obolibrary.org/obo/OBI_0000293	ready for release	has_specified_input
ObjectProperty	http://purl.obolibrary.org/obo/RO_0001001	pending final vetting	derives into
ObjectProperty	http://purl.obolibrary.org/obo/RO_0001000	pending final vetting	derives from
Class	http://purl.obolibrary.org/obo/CHEBI_33250		atom
Class	http://www.geneontology.org/formats/oboInOwl#Subset		
AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000412	pending final vetting	imported from
ObjectProperty	http://purl.obolibrary.org/obo/OBI_0000299	ready for release	has_specified_output
NamedIndividual	http://purl.obolibrary.org/obo/IAO_0000227		terms merged
NamedIndividual	http://purl.obolibrary.org/obo/IAO_0000228		term imported
NamedIndividual	http://purl.obolibrary.org/obo/IAO_0000226		placeholder removed
NamedIndividual	http://purl.obolibrary.org/obo/IAO_0000229		term split
Class	http://purl.obolibrary.org/obo/OBI_0000097	ready for release	participant under investigation role
Class	http://purl.obolibrary.org/obo/NCBITaxon_33213		Bilateria
Class	http://purl.obolibrary.org/obo/OBI_0000094	ready for release	material processing
Class	http://purl.obolibrary.org/obo/OBI_0600010	ready for release	material acquisition
Class	http://purl.obolibrary.org/obo/OBI_0600013	ready for release	information acquisition
ObjectProperty	http://purl.obolibrary.org/obo/OBI_0000312	ready for release	is_specified_output_of
Class	http://purl.obolibrary.org/obo/IAO_0000310	metadata complete	document
Class	http://purl.obolibrary.org/obo/OBI_0200000	ready for release	data transformation
NamedIndividual	http://purl.obolibrary.org/obo/obi/2015-09-15/obi.owl		OBI Release 2015-09-15
Class	http://purl.obolibrary.org/obo/GO_0003674		molecular_function
AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000601		
AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000602		
Class	http://purl.obolibrary.org/obo/IAO_0000409		denotator type
AnnotationProperty	http://purl.obolibrary.org/obo/IAO_0000600		
AnnotationProperty	http://purl.obolibrary.org/obo/BFO_0000180		
Class	http://purl.obolibrary.org/obo/IAO_0000007	ready for release	action specification
Class	http://purl.obolibrary.org/obo/IAO_0000009	metadata incomplete	datum label
Class	http://purl.obolibrary.org/obo/IAO_0000109	pending final vetting	measurement datum
Class	http://purl.obolibrary.org/obo/IAO_0000100	pending final vetting	data set
Class	http://purl.obolibrary.org/obo/IAO_0000102		data about an ontology part
Class	http://purl.obolibrary.org/obo/OBI_0000245	ready for release	organization
Class	http://purl.obolibrary.org/obo/IAO_0000104	ready for release	plan specification
Class	http://purl.obolibrary.org/obo/IAO_0000003	pending final vetting	measurement unit label
Class	http://purl.obolibrary.org/obo/OGMS_0000063		disease course
Class	http://purl.obolibrary.org/obo/IAO_0000005	ready for release	objective specification
NamedIndividual	http://purl.obolibrary.org/obo/IAO_0000124		uncurated
NamedIndividual	http://purl.obolibrary.org/obo/IAO_0000125		pending final vetting
Class	http://purl.obolibrary.org/obo/OBI_0000750	ready for release	study design independent variable
Class	http://purl.obolibrary.org/obo/OBI_0000338	ready for release	drawing a conclusion based on data
NamedIndividual	http://purl.obolibrary.org/obo/IAO_0000122		ready for release
Class	http://purl.obolibrary.org/obo/OBI_0000751	ready for release	study design dependent variable
Class	http://purl.obolibrary.org/obo/OBI_0000339	ready for release	planning
NamedIndividual	http://purl.obolibrary.org/obo/IAO_0000123		metadata incomplete
NamedIndividual	http://purl.obolibrary.org/obo/IAO_0000120		metadata complete
NamedIndividual	http://purl.obolibrary.org/obo/IAO_0000121		organizational term
Class	http://purl.obolibrary.org/obo/OBI_0600004	ready for release	human subject enrollment
Class	http://purl.obolibrary.org/obo/IAO_0000015	pending final vetting	information carrier
Class	http://purl.obolibrary.org/obo/OBI_0600008	ready for release	acquisition
Class	http://purl.obolibrary.org/obo/CL_0000010		cultured cell
