IRI	Label	ISA_Alternative_Term
http://purl.obolibrary.org/obo/OBI_0000066	investigation	study
http://purl.obolibrary.org/obo/OBI_0001622	investigation title	study title
http://purl.obolibrary.org/obo/OBI_0001615	investigation description	study description
http://purl.obolibrary.org/obo/OBI_0000750	study design independent variable	study factor
http://purl.obolibrary.org/obo/OBI_0000070	assay	study assay
http://purl.obolibrary.org/obo/OBI_0000272	protocol	study protocol
http://purl.obolibrary.org/obo/OBI_0000747	material sample	sample
http://purl.obolibrary.org/obo/OBI_0001143	labeled nucleic acid extract	labeled extract
http://purl.obolibrary.org/obo/OBI_0302903	nucleic acid hybridization	hybridization assay
http://purl.obolibrary.org/obo/OBI_0000202	investigation agent role	study person role
http://purl.obolibrary.org/obo/OBI_0000916	flow cytometry assay	flow cytometry
http://purl.obolibrary.org/obo/OBI_0000520	clinical chemistry assay	clinical chemistry
http://purl.obolibrary.org/obo/OBI_0000634	DNA methylation profiling assay	DNA methylation profiling
http://purl.obolibrary.org/obo/OBI_0000626	DNA sequencing	nucleotide sequencing
http://purl.obolibrary.org/obo/OBI_0000424	transcription profiling assay	transcription profiling
http://purl.obolibrary.org/obo/OBI_0000893	real time polymerase chain reaction assay	real time PCR
http://purl.obolibrary.org/obo/OBI_0000435	genotyping assay	SNP analysis
http://purl.obolibrary.org/obo/OBI_0000470	mass spectrometry assay	mass spectrometry